Source,Target,Type,Weight
@7iggo,@davivienda,undirected,3
@7iggo,@gustavobolivar,undirected,1
@7iggo,@petrogustavo,undirected,1
@8389amanda,@davivienda,undirected,1
@_ajaytuque,@davivienda,undirected,1
@_jennma_,@demjessenia,undirected,1
@aabenedetti,@josecastillobu,undirected,1
@aabenedetti,@petrogustavo,undirected,2
@ak47thelegend,@davivienda,undirected,1
@albaga78,@bancolombia,undirected,1
@alejocoqui,@davivienda,undirected,2
@alexillo36,@omitar69,undirected,1
@alexmesa17,@binance,undirected,1
@alexmesa17,@binancehelpdesk,undirected,1
@alexmesa17,@cz_binance,undirected,1
@alexmesa17,@edimejia1979,undirected,1
@alexriascos,@davivienda,undirected,1
@alexriascos,@karlaarcila,undirected,1
@alfredmaggiore,@davivienda,undirected,1
@alkosto,@clarocolombia,undirected,1
@alkosto,@claroteayuda,undirected,1
@almacenesexito,@apple,undirected,1
@almacenesexito,@davivienda,undirected,1
@almafuerteyvino,@davivienda,undirected,1
@alreves22,@davivienda,undirected,1
@alreves22,@wilsonariasc,undirected,3
@alvaroallanos,@jorgeivanospina,undirected,1
@alvarouribevel,@cedemocratico,undirected,1
@alvarouribevel,@gabrielsantoscd,undirected,1
@americadecali,@millosfcoficial,undirected,1
@amezquit2angela,@marianiniecheve,undirected,1
@an4cr0s,@monyrodriguezof,undirected,3
@an4cr0s,@s,undirected,1
@andreacely2970,@petangelscol,undirected,1
@andreanimalidad,@somosraya,undirected,1
@andrescepeda,@caracoltv,undirected,1
@andrescepeda,@davivienda,undirected,11
@andrescepeda,@directvco,undirected,1
@andreshurtado_7,@davivienda,undirected,2
@andrsfelipeca10,@margaritarosadf,undirected,1
@angelamrobledo,@jenniferariasf,undirected,1
@angelmed82,@davivienda,undirected,2
@antoasb,@chivowallet,undirected,1
@apple,@almacenesexito,undirected,1
@apple,@davivienda,undirected,1
@arthurdux1,@davivienda,undirected,4
@arthurdux1,@wilsonariasc,undirected,4
@ashima7,@davivienda,undirected,4
@asiesmuyberraco,@davivienda,undirected,1
@asiesmuyberraco,@wilsonariasc,undirected,1
@asnasalvaje,@ak47thelegend,undirected,1
@asnasalvaje,@banco_avvillas,undirected,1
@asnasalvaje,@bancolombia,undirected,1
@asnasalvaje,@davivienda,undirected,46
@asnasalvaje,@dianaluna07,undirected,2
@asnasalvaje,@elsanidiarodrig,undirected,1
@asnasalvaje,@fiscaliacol,undirected,2
@asnasalvaje,@fueledbychangua,undirected,1
@asnasalvaje,@humocolorazul,undirected,1
@asnasalvaje,@jokeraton,undirected,1
@asnasalvaje,@martha_urrego,undirected,1
@asnasalvaje,@movistarplus,undirected,1
@asnasalvaje,@notengandudaque,undirected,1
@asnasalvaje,@pereiraypereira,undirected,1
@asnasalvaje,@policiacali,undirected,1
@asobancaria,@bancorepublica,undirected,1
@asobancaria,@cgr_colombia,undirected,1
@asobancaria,@defensoriacol,undirected,1
@asobancaria,@minhacienda,undirected,1
@asobancaria,@sfcsupervisor,undirected,1
@asofiamr4,@bancopromerica,undirected,1
@augustoocampo,@sfcsupervisor,undirected,1
@auracardonafans,@daviplata,undirected,1
@auracardonafans,@davivienda,undirected,1
@aureliobabiloni,@davivienda,undirected,1
@avianca,@davivienda,undirected,2
@avianca,@heliodoptero,undirected,1
@avianca,@pactocol,undirected,1
@avianca,@roybarreras,undirected,1
@baccredomaticcr,@davivienda,undirected,1
@backdoorman85,@epifania2021,undirected,1
@banco_avvillas,@bancodebogota,undirected,2
@banco_avvillas,@bancolombia,undirected,1
@banco_avvillas,@bco_occidente,undirected,1
@banco_avvillas,@davivienda,undirected,1
@banco_avvillas,@farmaceuticoac1,undirected,1
@banco_avvillas,@fiscaliacol,undirected,1
@banco_avvillas,@movistarplus,undirected,1
@banco_avvillas,@scotiacolpatria,undirected,1
@bancoagrario,@banco_avvillas,undirected,1
@bancoagrario,@bancofinandina,undirected,1
@bancoagrario,@bbva,undirected,1
@bancoagrario,@davivienda,undirected,1
@bancobogota,@banco_avvillas,undirected,1
@bancocajasocial,@davivienda,undirected,1
@bancocuscatlan_,@bancoagricolasv,undirected,1
@bancodebogota,@bancoagrario,undirected,1
@bancodebogota,@bancocajasocial,undirected,1
@bancodebogota,@bancofinandina,undirected,1
@bancodebogota,@bancolombia,undirected,1
@bancodebogota,@bancopichincha,undirected,1
@bancodebogota,@bancosantander,undirected,1
@bancodebogota,@bco_occidente,undirected,2
@bancodebogota,@davivienda,undirected,5
@bancodebogota,@farmaceuticoac1,undirected,1
@bancodebogota,@grupoaval,undirected,1
