Source,Target,Type,Weight
@7iGGO,@Davivienda,Undirected,3
@7iGGO,@GustavoBolivar,Undirected,1
@7iGGO,@petrogustavo,Undirected,1
@8389amanda,@Davivienda,Undirected,1
@AABenedetti,@josecastillobu,Undirected,1
@AABenedetti,@petrogustavo,Undirected,2
@ALBAGA78,@Bancolombia,Undirected,1
@AUGUSTOOCAMPO,@SFCsupervisor,Undirected,1
@Ak47TheLegend,@Davivienda,Undirected,1
@AlexMesa17,@BinanceHelpDesk,Undirected,1
@AlexMesa17,@Edimejia1979,Undirected,1
@AlexMesa17,@binance,Undirected,1
@AlexMesa17,@cz_binance,Undirected,1
@AlexRiascos,@Davivienda,Undirected,1
@AlexRiascos,@Karlaarcila,Undirected,1
@AlfredMaggiore,@Davivienda,Undirected,1
@Alkosto,@ClaroColombia,Undirected,1
@Alkosto,@ClaroTeAyuda,Undirected,1
@Almafuerteyvino,@Davivienda,Undirected,1
@AlvaroUribeVel,@CeDemocratico,Undirected,1
@AlvaroUribeVel,@GabrielSantosCD,Undirected,1
@AlvaroaLlanos,@JorgeIvanOspina,Undirected,1
@AmericadeCali,@MillosFCoficial,Undirected,1
@Amezquit2Angela,@Marianiniecheve,Undirected,1
@An4cR0s,@MONYRODRIGUEZOF,Undirected,3
@An4cR0s,"@s,",Undirected,1
@Andreacely2970,@PetAngelsCol,Undirected,1
@Andreshurtado_7,@Davivienda,Undirected,2
@AndrsFelipeCa10,@Margaritarosadf,Undirected,1
@Apple,@Davivienda,Undirected,1
@Apple,@almacenesexito,Undirected,1
@ArthurDux1,@Davivienda,Undirected,4
@ArthurDux1,@wilsonariasc,Undirected,4
@Asnasalvaje,@Ak47TheLegend,Undirected,1
@Asnasalvaje,@Banco_AvVillas,Undirected,1
@Asnasalvaje,@Bancolombia,Undirected,1
@Asnasalvaje,@Davivienda,Undirected,46
@Asnasalvaje,@DianaLuna07,Undirected,2
@Asnasalvaje,@ElsaNidiaRodrig,Undirected,1
@Asnasalvaje,@FiscaliaCol,Undirected,2
@Asnasalvaje,@FueledByChangua,Undirected,1
@Asnasalvaje,@Jokeraton,Undirected,1
@Asnasalvaje,@MovistarPlus,Undirected,1
@Asnasalvaje,@NoTenganDudaQue,Undirected,1
@Asnasalvaje,@PereiraYPereira,Undirected,1
@Asnasalvaje,@PoliciaCali,Undirected,1
@Asnasalvaje,@humocolorazul,Undirected,1
@Asnasalvaje,@martha_urrego,Undirected,1
@Asobancaria,@BancoRepublica,Undirected,1
@Asobancaria,@CGR_Colombia,Undirected,1
@Asobancaria,@DefensoriaCol,Undirected,1
@Asobancaria,@MinHacienda,Undirected,1
@Asobancaria,@SFCsupervisor,Undirected,1
@AsofiamR4,@BancoPromerica,Undirected,1
@AuraCardonafans,@DaviPlata,Undirected,1
@AuraCardonafans,@Davivienda,Undirected,1
@Avianca,@Avianca,Undirected,1
@Avianca,@Davivienda,Undirected,2
@Avianca,@HELIODOPTERO,Undirected,1
@Avianca,@PactoCol,Undirected,1
@Avianca,@RoyBarreras,Undirected,1
@BACCredomaticCR,@Davivienda,Undirected,1
@BANCOLOMBIA,@Bancolombia,Undirected,1
@BANCOLOMBIA,@Davivienda,Undirected,1
@BBVA_Colombia,@BancodeBogota,Undirected,1
@BBVA_Colombia,@Bancolombia,Undirected,1
@BBVA_Colombia,@Davivienda,Undirected,1
@BBVA_Colombia,@Nequi,Undirected,1
@BBVA_Colombia,@bancocajasocial,Undirected,1
@BackDoorMan85,@Epifania2021,Undirected,1
@BancoAgrario,@BancoFinandina,Undirected,1
@BancoAgrario,@Banco_AvVillas,Undirected,1
@BancoAgrario,@Davivienda,Undirected,1
@BancoAgrario,@bbva,Undirected,1
@BancoCUSCATLAN_,@bancoagricolasv,Undirected,1
@BancoFinandina,@Colsubsidio_Ofi,Undirected,2
@BancoFinandina,@Davivienda,Undirected,3
@BancoPichincha,@Banco_AvVillas,Undirected,1
@BancoPopularCR,@Banco_AvVillas,Undirected,1
@BancoPopularCR,@BancodeBogota,Undirected,1
@BancoPopularCR,@farmaceuticoac1,Undirected,1
@BancoRepublica,@Asobancaria,Undirected,1
@BancoRepublica,@BancoRepublica,Undirected,3
@BancoRepublica,@DaviPlata,Undirected,9
@BancoRepublica,@Davivienda,Undirected,3
@BancoRepublica,@SFCsupervisor,Undirected,4
@BancoRepublica,@Superservicios,Undirected,3
@BancoRepublica,@johnsonmtb,Undirected,3
@BancoRepublica,@sicsuper,Undirected,9
@Banco_AvVillas,@BancodeBogota,Undirected,2
@Banco_AvVillas,@Bancolombia,Undirected,1
