Unnamed: 0,UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL,Embedded_text_1,links,links_title,conteo_links,hashtags,conteo_hashtags,menciones,conteo_menciones,emojis,conteo_emojis,RT,conteo_RT,sentiment,sentiment_score,processed_text,Distribución de temas,Tema más probable
0,Andrés Langebaek,@alangebaek,2021-12-01T20:43:12.000Z,"Andrés Langebaek
@ALangebaek
·
1 dic.","La confianza se afectó. El indicador de confianza Davivienda tuvo una  leve caída en noviembre, rompiendo una tendencia de cinco meses de mejoras. El indicador se deterioró, especialmente en la última semana del mes, asociado al aumento en la tasa de cambio.
1
7
19",,1.0,7,19,['https://pbs.twimg.com/media/FFjL57eXMAISBnk?format=jpg&name=small'],https://twitter.com/ALangebaek/status/1466145880629723138,"La confianza se afectó. El indicador de confianza Davivienda tuvo una  leve caída en noviembre, rompiendo una tendencia de cinco meses de mejoras. El indicador se deterioró, especialmente en la última semana del mes, asociado al aumento en la tasa de cambio.   ",[],,0,[],0,[],0,[],0,[],0,2 stars,0.5452802181243896,"['confianza', 'afectar', 'indicador', 'confianza', 'davivienda', 'tener', 'leve', 'caída', 'noviembre', 'romper', 'tendencia', 'cinco', 'mejora', 'indicador', 'deteriorar', 'especialmente', 'último', 'semana', 'asociado', 'aumento', 'tasa', 'cambio1719']","([(0, 0.45023692), (1, 0.41754165), (3, 0.12261284)], [(0, [1, 0, 3]), (1, [3, 0, 1]), (2, [1, 3, 0]), (3, [0, 1, 3]), (4, [1, 0]), (5, [1, 0]), (6, [0]), (7, [1, 0]), (8, [0, 1, 3]), (9, [0, 1, 3]), (10, [0, 1, 3]), (11, [0, 1, 3]), (12, [0, 1, 3]), (13, [0]), (14, [0, 1, 3]), (15, [1]), (16, [3, 0, 1]), (17, [1, 0, 3]), (18, [1]), (19, [1])], [(0, [(0, 0.03358627), (1, 0.9485793), (3, 0.015386347)]), (1, [(0, 0.12485785), (1, 0.047977462), (3, 0.81892025)]), (2, [(0, 0.06272418), (1, 0.75206435), (3, 0.18233623)]), (3, [(0, 0.73291594), (1, 0.14974055), (3, 0.091484174)]), (4, [(0, 0.02434538), (1, 0.9684091)]), (5, [(0, 0.019886853), (1, 0.97192836)]), (6, [(0, 1.9963038)]), (7, [(0, 0.28532556), (1, 0.71465003)]), (8, [(0, 0.73291594), (1, 0.14974055), (3, 0.091484174)]), (9, [(0, 0.73291594), (1, 0.14974055), (3, 0.091484174)]), (10, [(0, 1.6245205), (1, 0.22457898), (3, 0.11971422)]), (11, [(0, 0.91136706), (1, 0.047806997), (3, 0.031928338)]), (12, [(0, 0.73291594), (1, 0.14974055), (3, 0.091484174)]), (13, [(0, 0.99652976)]), (14, [(0, 0.73291594), (1, 0.14974055), (3, 0.091484174)]), (15, [(1, 0.99741054)]), (16, [(0, 0.033448108), (1, 0.012622252), (3, 0.951533)]), (17, [(0, 0.236732), (1, 0.70374155), (3, 0.04588393)]), (18, [(1, 0.99973136)]), (19, [(1, 0.9929664)])])",0
1,Plaza Futura,@plaza_futura,2021-12-01T21:18:10.000Z,"Plaza Futura
@plaza_futura
·
1 dic.","Buscamos la accesibilidad y mejor atención en tus trámites bancarios, es por ello que encuentras en nuestra plaza los siguientes bancos para tu preferencia.
 Banco Cuscatlán
 Banco Fedecrédito
 Davivienda
 Bancoagrícola
 Banco Promerica",✅ ✅ ✅ ✅ ✅,,,,['https://pbs.twimg.com/ext_tw_video_thumb/1466153640050184199/pu/img/O-Lo8U_Oz5X0_BAU.jpg'],https://twitter.com/plaza_futura/status/1466154682812878859,"Buscamos la accesibilidad y mejor atención en tus trámites bancarios, es por ello que encuentras en nuestra plaza los siguientes bancos para tu preferencia. Banco Cuscatlán Banco Fedecrédito Davivienda Bancoagrícola Banco Promerica",[],,0,[],0,[],0,[],0,[],0,4 stars,0.3739754855632782,"['buscar', 'accesibilidad', 'mejor', 'atención', 'trámite', 'bancario', 'encontrar', 'plaza', 'siguiente', 'banco', 'preferencia', 'banco', 'cuscatlán', 'banco', 'fedecrédito', 'davivienda', 'bancoagrícolo', 'banco', 'promerico']","([(1, 0.53003234), (2, 0.11757467), (3, 0.34636524)], [(7, [1]), (20, [3, 1, 2]), (21, [2]), (22, [1]), (23, [1, 3]), (24, [3, 1, 2]), (25, [1, 3]), (26, [3, 1]), (27, [2, 1]), (28, [3, 1, 2]), (29, [1]), (30, [3, 1]), (31, [3, 1, 2]), (32, [3, 1]), (33, [3]), (34, [1])], [(7, [(1, 0.9999159)]), (20, [(1, 0.26747674), (2, 0.031255968), (3, 0.6688668)]), (21, [(2, 0.9971911)]), (22, [(1, 0.9965981)]), (23, [(1, 3.9746983), (3, 0.025122173)]), (24, [(1, 0.26747674), (2, 0.031255968), (3, 0.6688668)]), (25, [(1, 0.95139873), (3, 0.04607009)]), (26, [(1, 0.03383921), (3, 0.9558842)]), (27, [(1, 0.042577293), (2, 0.9487765)]), (28, [(1, 0.26747674), (2, 0.031255968), (3, 0.6688668)]), (29, [(1, 0.9965077)]), (30, [(1, 0.03368093), (3, 0.9560546)]), (31, [(1, 0.26747674), (2, 0.031255968), (3, 0.6688668)]), (32, [(1, 0.016082168), (3, 0.9789982)]), (33, [(3, 0.9983784)]), (34, [(1, 0.98973584)])])",1
2,Julián Martinez,@julianm998,2021-12-01T22:49:11.000Z,"Julián Martinez
@JulianM998
·
1 dic.","Señores 
@Davivienda
 no he podido ingresar a mi app davivienda, ingreso la cédula y me dice verifique los datos, llevo así varios días.
1
1",,1.0,,1,[],https://twitter.com/JulianM998/status/1466177584467746816,"Señores  @Davivienda no he podido ingresar a mi app davivienda, ingreso la cédula y me dice verifique los datos, llevo así varios días.  ",[],,0,[],0,['@davivienda'],1,[],0,[],0,1 star,0.6927407383918762,"['señor', 'daviviendo', 'haber', 'poder', 'ingresar', 'daviviendir', 'ingreso', 'cédula', 'decir', 'verifique', 'dato', 'llevar', 'varios', 'días11']","([(1, 0.9688509), (2, 0.014905584)], [(35, [1]), (36, [1]), (37, [1]), (38, [1]), (39, [1]), (40, [1]), (41, [1]), (42, [1]), (43, [1]), (44, [1]), (45, [1]), (46, [1]), (47, [1]), (48, [1])], [(35, [(1, 0.99915504)]), (36, [(1, 0.9975218)]), (37, [(1, 0.9999218)]), (38, [(1, 0.9999858)]), (39, [(1, 0.9999812)]), (40, [(1, 0.9676827)]), (41, [(1, 0.99999326)]), (42, [(1, 0.99994165)]), (43, [(1, 0.9996342)]), (44, [(1, 0.9999626)]), (45, [(1, 0.99966747)]), (46, [(1, 0.99996525)]), (47, [(1, 0.9997285)]), (48, [(1, 0.99928343)])])",1
3,Ferchis.,@fergomezr28,2021-12-01T12:29:07.000Z,"Ferchis.
@fergomezr28
·
1 dic.","Llevo toda una semana sufriendo intento de hurto por medios electrónicos a mi cuenta de ahorros 
@Davivienda
, sin que se puedan realizar porque no tengo plata. No felices, lo hicieron con la TC y con esta sí pudieron ya que tenía cupo libre. ¿Qué está pasando 
@Davivienda
?
2
1
2",,2.0,1,2,[],https://twitter.com/fergomezr28/status/1466021543432142850,"Llevo toda una semana sufriendo intento de hurto por medios electrónicos a mi cuenta de ahorros  @Davivienda , sin que se puedan realizar porque no tengo plata. No felices, lo hicieron con la TC y con esta sí pudieron ya que tenía cupo libre. ¿Qué está pasando  @Davivienda ?   ",[],,0,[],0,"['@davivienda', '@davivienda']",2,[],0,[],0,1 star,0.6848399639129639,"['llevar', 'semana', 'sufrir', 'intento', 'hurto', 'medio', 'electrónico', 'cuenta', 'ahorro', 'daviviendo', 'poder', 'realizar', 'tener', 'plata', 'feliz', 'hacer', 'poder', 'tener', 'cupo', 'libre', 'pasar', 'davivienda212']","([(1, 0.9322889), (2, 0.05719175)], [(15, [1]), (18, [1]), (38, [1]), (44, [1]), (45, [1, 2]), (49, [1]), (50, [1]), (51, [1]), (52, [1, 2]), (53, [1]), (54, [2]), (55, [1]), (56, [1]), (57, [1]), (58, [1]), (59, [1, 2]), (60, [1]), (61, [1]), (62, [1]), (63, [1])], [(15, [(1, 0.99991745)]), (18, [(1, 1.9999835)]), (38, [(1, 0.9999824)]), (44, [(1, 0.9999465)]), (45, [(1, 1.9556408), (2, 0.044338718)]), (49, [(1, 0.9999131)]), (50, [(1, 0.9999888)]), (51, [(1, 0.9920495)]), (52, [(1, 0.9550433), (2, 0.01220229)]), (53, [(1, 0.9992268)]), (54, [(2, 0.9969524)]), (55, [(1, 0.99999183)]), (56, [(1, 0.9990911)]), (57, [(1, 0.99961454)]), (58, [(1, 0.99696165)]), (59, [(1, 0.97698253), (2, 0.022903334)]), (60, [(1, 0.9999753)]), (61, [(1, 0.99996465)]), (62, [(1, 0.99990326)]), (63, [(1, 0.99781376)])])",1
4,MirandaL2,@mirandasusplo,2021-12-01T20:52:36.000Z,"MirandaL2
@MirandaSuspLo
·
1 dic.","Hemos retrocedido tanto en este país con este gobierno, que hasta los malparidos cajeros de 
@Davivienda
 dizque solo botan de 400.000 pesos y en billetes de 10.000 no seamos tan maricas !!
3
8",,3.0,,8,[],https://twitter.com/MirandaSuspLo/status/1466148246905044996,"Hemos retrocedido tanto en este país con este gobierno, que hasta los malparidos cajeros de  @Davivienda dizque solo botan de 400.000 pesos y en billetes de 10.000 no seamos tan maricas !!  ",[],,0,[],0,['@davivienda'],1,[],0,[],0,1 star,0.7314361333847046,"['haber', 'retroceder', 'país', 'gobierno', 'malparido', 'cajero', 'davivienda', 'dizque', 'solo', 'botar', '400000', 'pesos', 'billete', '10000', 'marica']","([(1, 0.97087663), (2, 0.013844628)], [(7, [1]), (41, [1]), (64, [1]), (65, [1]), (66, [1]), (67, [1]), (68, [1]), (69, [1]), (70, [1]), (71, [1]), (72, [1]), (73, [1]), (74, [1]), (75, [1]), (76, [1])], [(7, [(1, 0.99999344)]), (41, [(1, 0.9999933)]), (64, [(1, 0.9914635)]), (65, [(1, 0.99872994)]), (66, [(1, 0.9996044)]), (67, [(1, 0.9683389)]), (68, [(1, 0.9999746)]), (69, [(1, 0.99966484)]), (70, [(1, 0.9992592)]), (71, [(1, 0.9997206)]), (72, [(1, 0.9683389)]), (73, [(1, 0.99988794)]), (74, [(1, 0.99987936)]), (75, [(1, 0.9683389)]), (76, [(1, 0.9999741)])])",1
5,John Jairo Peralta Bernal,@johnjairope,2021-12-01T16:11:03.000Z,"John Jairo Peralta Bernal
@JohnJairoPe
·
1 dic.","Open Data, CEO, pregúntele a la gente de a pie si eso les importa, acá lo que importa es que respondan por la plata que se roban por #daviplata, a ver Davivienda #rDaviviendaNoResponde
Banco Davivienda
@Davivienda
 · 30 nov.
En su participación en el foro Open Banking: Operaciones y tendencias de futuro, organizado por @larepublica_co, Margarita Henao, CEO de @DaviPlata  expuso la necesidad de que el país, la regulación y el sistema avancen hacia el Open Data.
Mostrar este hilo
1",,,1,,"['https://pbs.twimg.com/profile_images/1002552048620134400/qZ1XCo_9_mini.jpg', 'https://pbs.twimg.com/media/FFcnjiBXIAEy2zc?format=jpg&name=small']",https://twitter.com/JohnJairoPe/status/1466077392858877952,"Open Data, CEO, pregúntele a la gente de a pie si eso les importa, acá lo que importa es que respondan por la plata que se roban por #daviplata, a ver Davivienda #rDaviviendaNoResponde Banco Davivienda @Davivienda · 30 nov. En su participación en el foro Open Banking: Operaciones y tendencias de futuro, organizado por @larepublica_co, Margarita Henao, CEO de @DaviPlata  expuso la necesidad de que el país, la regulación y el sistema avancen hacia el Open Data. Mostrar este hilo ",[],,0,"['#daviplata,', '#rDaviviendaNoResponde']",2,"['@davivienda', '@larepublica_co', '@daviplata']",3,[],0,[],0,1 star,0.3951650559902191,"['opir', 'datar', 'pregúntelar', 'gente', 'importar', 'importar', 'responder', 'plata', 'robar', 'daviplata', 'daviviendir', 'rdaviviendanorespondebanco', 'davivienda', 'daviviendar', 'noven', 'participación', 'foro', 'opir', 'banking', 'operación', 'tendencia', 'futuro', 'organizado', 'larepublicaco', 'margarito', 'henao', 'daviplata', 'exponer', 'necesidad', 'país', 'regulación', 'sistema', 'avancir', 'hacia', 'open', 'datamostrar', 'hilo1']","([(1, 0.88821924), (3, 0.10278062)], [(7, [1]), (17, [1, 3]), (37, [1, 3]), (61, [1]), (73, [1]), (77, [1, 3]), (78, [1, 3]), (79, [1, 3]), (80, [1, 3]), (81, [1]), (82, [1]), (83, [1]), (84, [1, 3]), (85, [1, 3]), (86, [1]), (87, [3, 1]), (88, [1, 3]), (89, [1]), (90, [1]), (91, [1, 3]), (92, [1]), (93, [1]), (94, [1, 3]), (95, [1, 3]), (96, [1]), (97, [1, 3]), (98, [1, 3]), (99, [1, 3]), (100, [1, 3]), (101, [1, 3]), (102, [1, 3]), (103, [3]), (104, [1]), (105, [1])], [(7, [(1, 0.99998426)]), (17, [(1, 0.9662273), (3, 0.02523795)]), (37, [(1, 0.89414984), (3, 0.10580468)]), (61, [(1, 0.99989504)]), (73, [(1, 0.9995361)]), (77, [(1, 0.8611451), (3, 0.104910895)]), (78, [(1, 0.8611451), (3, 0.104910895)]), (79, [(1, 0.8611451), (3, 0.104910895)]), (80, [(1, 0.8611451), (3, 0.104910895)]), (81, [(1, 1.9999019)]), (82, [(1, 0.99826825)]), (83, [(1, 0.99330425)]), (84, [(1, 0.861356), (3, 0.104706496)]), (85, [(1, 0.8939542), (3, 0.07942173)]), (86, [(1, 0.9996981)]), (87, [(1, 0.022990651), (3, 0.9749904)]), (88, [(1, 0.8611451), (3, 0.104910895)]), (89, [(1, 0.9984015)]), (90, [(1, 1.9970249)]), (91, [(1, 0.9701845), (3, 0.021911219)]), (92, [(1, 0.99309605)]), (93, [(1, 0.9982212)]), (94, [(1, 0.8611451), (3, 0.104910895)]), (95, [(1, 0.8611451), (3, 0.104910895)]), (96, [(1, 0.9984705)]), (97, [(1, 1.8517413), (3, 0.112442836)]), (98, [(1, 0.8611451), (3, 0.104910895)]), (99, [(1, 0.8611451), (3, 0.104910895)]), (100, [(1, 0.8611451), (3, 0.104910895)]), (101, [(1, 0.8611451), (3, 0.104910895)]), (102, [(1, 0.8611451), (3, 0.104910895)]), (103, [(3, 0.9994062)]), (104, [(1, 0.9998329)]), (105, [(1, 0.99952763)])])",1
6,Universidad El Bosque,@u_elbosque,2021-12-01T15:00:26.000Z,"Universidad El Bosque
@U_ElBosque
·
1 dic.","Conoce los requisitos de la convocatoria de Becas al Talento de Fundación Bolívar Davivienda. 
https://bddy.me/3EcTA8x",,,,,['https://pbs.twimg.com/media/FFh9c8jXsAAtEXc?format=jpg&name=small'],https://twitter.com/U_ElBosque/status/1466059622356238336,Conoce los requisitos de la convocatoria de Becas al Talento de Fundación Bolívar Davivienda.  Link_aqui,['https://bddy.me/3EcTA8x'],['CreSer'],1,[],0,[],0,[],0,[],0,4 stars,0.37130412459373474,"['conocer', 'requisito', 'convocatoria', 'beca', 'talento', 'fundación', 'bolívar', 'davivienda', 'httpsbddyme3ecta8x']","([(0, 0.9365255), (1, 0.02857198), (2, 0.02242092), (3, 0.012481598)], [(7, [0]), (106, [0]), (107, [0]), (108, [0]), (109, [0]), (110, [0]), (111, [0]), (112, [0]), (113, [0])], [(7, [(0, 0.993072)]), (106, [(0, 0.9874059)]), (107, [(0, 0.99991107)]), (108, [(0, 0.99932665)]), (109, [(0, 0.9874059)]), (110, [(0, 0.9969996)]), (111, [(0, 0.9874059)]), (112, [(0, 0.99640644)]), (113, [(0, 0.9874059)])])",0
7,Cristian Julian,@cjulianlozano,2021-12-01T00:01:49.000Z,"Cristian Julian
@cjulianlozano
·
30 nov.","Mamado de ser adulto y tener que trabajar para pagarle a 
@Davivienda",,,,,[],https://twitter.com/cjulianlozano/status/1465833475890679808,Mamado de ser adulto y tener que trabajar para pagarle a  @Davivienda,[],,0,[],0,['@davivienda'],1,[],0,[],0,1 star,0.6179028749465942,"['mamado', 'adulto', 'tener', 'trabajar', 'pagar', 'daviviendo']","([(0, 0.017628836), (1, 0.9316761), (2, 0.03265412), (3, 0.018040959)], [(18, [1]), (38, [1]), (114, [1]), (115, [1]), (116, [1]), (117, [1])], [(18, [(1, 0.9999939)]), (38, [(1, 0.99997973)]), (114, [(1, 0.99947685)]), (115, [(1, 0.9665773)]), (116, [(1, 0.999966)]), (117, [(1, 0.9977158)])])",1
8,Santiago Parra Angel,@santiagoparraa2,2021-12-01T01:31:18.000Z,"Santiago Parra Angel
@SantiagoParraA2
·
30 nov.","#daviplata ayuda por favor, llevo más de 3 meses tratando de cambiar mi número daviplata y nadie me ayuda, esa nueva línea de WhatsApp es ineficiente, nadie responde a los cientos de radicados que he hecho, necesito que me colabore #daviplata #davivienda #asesoresdavivienda
1",,,,1,[],https://twitter.com/SantiagoParraA2/status/1465855997101154304,"#daviplata ayuda por favor, llevo más de 3 meses tratando de cambiar mi número daviplata y nadie me ayuda, esa nueva línea de WhatsApp es ineficiente, nadie responde a los cientos de radicados que he hecho, necesito que me colabore #daviplata #davivienda #asesoresdavivienda ",[],,0,"['#daviplata', '#daviplata', '#davivienda', '#asesoresdavivienda']",4,[],0,[],0,[],0,1 star,0.8117733597755432,"['daviplata', 'ayuda', 'favor', 'llevar', 'tratar', 'cambiar', 'número', 'daviplata', 'nadie', 'ayudar', 'nuevo', 'línea', 'whatsapp', 'ineficiente', 'nadie', 'responder', 'ciento', 'radicado', 'haber', 'hacer', 'necesito', 'colaborir', 'daviplata', 'daviviendir', 'asesoresdavivienda1']","([(1, 0.7366887), (2, 0.2070435), (3, 0.051667057)], [(37, [1, 3]), (41, [1]), (44, [1]), (55, [1]), (81, [1]), (103, [3]), (118, [1, 2, 3]), (119, [1]), (120, [2]), (121, [1, 3]), (122, [1]), (123, [1, 2, 3]), (124, [2]), (125, [1]), (126, [1, 2]), (127, [1]), (128, [1]), (129, [1]), (130, [2]), (131, [2, 1]), (132, [1]), (133, [2, 1])], [(37, [(1, 0.9481932), (3, 0.051657055)]), (41, [(1, 0.99996316)]), (44, [(1, 0.99980253)]), (55, [(1, 0.999968)]), (81, [(1, 2.9998205)]), (103, [(3, 0.99847686)]), (118, [(1, 0.8289819), (2, 0.08610759), (3, 0.044022154)]), (119, [(1, 0.99912924)]), (120, [(2, 0.9996913)]), (121, [(1, 0.9460414), (3, 0.05356955)]), (122, [(1, 0.98815185)]), (123, [(1, 0.8289819), (2, 0.08610759), (3, 0.044022154)]), (124, [(2, 0.9991531)]), (125, [(1, 0.99756175)]), (126, [(1, 0.9807691), (2, 0.019093273)]), (127, [(1, 1.9956424)]), (128, [(1, 0.99215174)]), (129, [(1, 0.9992985)]), (130, [(2, 0.9986508)]), (131, [(1, 0.062942535), (2, 0.92954725)]), (132, [(1, 0.9996102)]), (133, [(1, 0.043405056), (2, 0.955336)])])",1
9,Andres Moreno Jaramillo,@andresmania,2021-12-01T04:27:27.000Z,"Andres Moreno Jaramillo
@andresmania
·
30 nov.","Cierto, recuerdo en 2000-2010 se vendieron empresas como Bavaria y Coltabaco. Fusiones en Grupo Sura, Grupo Argos, Bancolombia, Nutresa, Éxito, Banco de Occidente, Banco de Bogotá. Creación de Grupo Aval, Celsia. Llegada de ISA, Ecopetrol, GEB, Davivienda

¿Se repetirá 2021-2030?
Andres Palacios
@Palacios_Andres
 · 30 nov.
La @bvcColombia volvió a ser lo del 2000 , “que buenos partidos corporativos los que estamos viendo “ compañero compañero” Willian Vinasco a Adolfo Perez .  Emociónate
1
1
6",📊,1.0,1,6,['https://pbs.twimg.com/profile_images/1420375082237579273/4p1Bm36R_mini.jpg'],https://twitter.com/andresmania/status/1465900328138813447,"Cierto, recuerdo en 2000-2010 se vendieron empresas como Bavaria y Coltabaco. Fusiones en Grupo Sura, Grupo Argos, Bancolombia, Nutresa, Éxito, Banco de Occidente, Banco de Bogotá. Creación de Grupo Aval, Celsia. Llegada de ISA, Ecopetrol, GEB, Davivienda  ¿Se repetirá 2021-2030? Andres Palacios @Palacios_Andres · 30 nov. La @bvcColombia volvió a ser lo del 2000 , “que buenos partidos corporativos los que estamos viendo “ compañero compañero” Willian Vinasco a Adolfo Perez .  Emociónate   ",[],,0,[],0,"['@palacios_andres', '@bvccolombia']",2,[],0,[],0,1 star,0.3428390622138977,"['cierto', 'recuerdo', '20002010', 'vendar', 'empresa', 'bavario', 'coltabaco', 'fusión', 'grupo', 'sura', 'grupo', 'argo', 'bancolombio', 'nutresar', 'éxito', 'banco', 'occidente', 'banco', 'bogotá', 'creación', 'grupo', 'aval', 'celsia', 'llegado', 'ecopetrol', 'daviviendase', 'repetir', '20212030andres', 'palacios', 'palaciosandr', 'novla', 'bvccolombio', 'volver', '2000', 'buen', 'partido', 'corporativo', 'compañero', 'compañero', 'williar', 'vinasco', 'adolfo', 'perez', 'emociónate116']","([(0, 0.9066655), (1, 0.08575415)], [(23, [0, 1]), (134, [0]), (135, [0, 1]), (136, [0, 1]), (137, [0, 1]), (138, [0]), (139, [0]), (140, [0, 1]), (141, [0, 1]), (142, [0]), (143, [1, 0]), (144, [0, 1]), (145, [0, 1]), (146, [1, 0]), (147, [0, 1]), (148, [0, 1]), (149, [0]), (150, [0, 1]), (151, [0, 1]), (152, [0]), (153, [0, 1]), (154, [0]), (155, [0, 1]), (156, [0]), (157, [0, 1]), (158, [0, 1]), (159, [0, 1]), (160, [0]), (161, [0, 1]), (162, [0, 1]), (163, [0]), (164, [0, 1]), (165, [0, 1]), (166, [0, 1]), (167, [0]), (168, [0]), (169, [0, 1]), (170, [0, 1]), (171, [0, 1]), (172, [0, 1])], [(23, [(0, 1.7357601), (1, 0.2642054)]), (134, [(0, 0.9975378)]), (135, [(0, 0.9767553), (1, 0.0107212225)]), (136, [(0, 0.9767553), (1, 0.0107212225)]), (137, [(0, 0.9767553), (1, 0.0107212225)]), (138, [(0, 0.9991814)]), (139, [(0, 0.99972254)]), (140, [(0, 0.75337636), (1, 0.24624433)]), (141, [(0, 0.9767553), (1, 0.0107212225)]), (142, [(0, 0.9998068)]), (143, [(0, 0.01568167), (1, 0.98378634)]), (144, [(0, 0.9767553), (1, 0.0107212225)]), (145, [(0, 0.9767553), (1, 0.0107212225)]), (146, [(0, 0.08150351), (1, 0.9162055)]), (147, [(0, 0.9767553), (1, 0.0107212225)]), (148, [(0, 1.8315812), (1, 0.16171883)]), (149, [(0, 0.999419)]), (150, [(0, 0.9767553), (1, 0.0107212225)]), (151, [(0, 0.79977965), (1, 0.18956615)]), (152, [(0, 0.993528)]), (153, [(0, 0.9767553), (1, 0.0107212225)]), (154, [(0, 0.99992687)]), (155, [(0, 0.9767553), (1, 0.0107212225)]), (156, [(0, 2.9995518)]), (157, [(0, 0.9767553), (1, 0.0107212225)]), (158, [(0, 0.9767553), (1, 0.0107212225)]), (159, [(0, 0.9767553), (1, 0.0107212225)]), (160, [(0, 0.9945015)]), (161, [(0, 0.9767553), (1, 0.0107212225)]), (162, [(0, 0.9767553), (1, 0.0107212225)]), (163, [(0, 0.99945766)]), (164, [(0, 0.9767553), (1, 0.0107212225)]), (165, [(0, 0.9767553), (1, 0.0107212225)]), (166, [(0, 0.9767553), (1, 0.0107212225)]), (167, [(0, 0.99099314)]), (168, [(0, 0.9937184)]), (169, [(0, 0.9767553), (1, 0.0107212225)]), (170, [(0, 0.9312244), (1, 0.06868922)]), (171, [(0, 0.9767553), (1, 0.0107212225)]), (172, [(0, 0.51725364), (1, 0.47898757)])])",0
