Id,Label,Type,Weight
@0vic_,@0vic_,Undirected,1
@472Colombia,@472Colombia,Undirected,1
@7iGGO,@7iGGO,Undirected,3
@8389amanda,@8389amanda,Undirected,1
@AABenedetti,@AABenedetti,Undirected,2
@ALBAGA78,@ALBAGA78,Undirected,1
@ARENAALFA,@ARENAALFA,Undirected,1
@AUGUSTOOCAMPO,@AUGUSTOOCAMPO,Undirected,5
@AdamAltadill,@AdamAltadill,Undirected,1
@Adissbisss,@Adissbisss,Undirected,1
@Adrismc_,@Adrismc_,Undirected,1
@AidaAvellaE,@AidaAvellaE,Undirected,1
@Ak47TheLegend,@Ak47TheLegend,Undirected,1
@AleMercado4,@AleMercado4,Undirected,1
@Alejand36202857,@Alejand36202857,Undirected,1
@AlexMesa17,@AlexMesa17,Undirected,2
@AlexRiascos,@AlexRiascos,Undirected,1
@AlfredMaggiore,@AlfredMaggiore,Undirected,2
@Alkosto,@Alkosto,Undirected,1
@Almafuerteyvino,@Almafuerteyvino,Undirected,2
@Altaner0,@Altaner0,Undirected,1
@AlvaroUribeVel,@AlvaroUribeVel,Undirected,2
@AlvaroaLlanos,@AlvaroaLlanos,Undirected,1
@AmazoPau,@AmazoPau,Undirected,1
@AmericadeCali,@AmericadeCali,Undirected,1
@Amezquit2Angela,@Amezquit2Angela,Undirected,1
@AminDiazMorales,@AminDiazMorales,Undirected,1
@AminMejiaM,@AminMejiaM,Undirected,1
@An4cR0s,@An4cR0s,Undirected,4
@Anbztht,@Anbztht,Undirected,1
@Andreacely2970,@Andreacely2970,Undirected,1
@Andreshurtado_7,@Andreshurtado_7,Undirected,2
@AndrsFelipeCa10,@AndrsFelipeCa10,Undirected,2
@Angel_Rivera_N,@Angel_Rivera_N,Undirected,1
@Angelasantiagop,@Angelasantiagop,Undirected,1
@Apple,@Apple,Undirected,1
@Aprendoatrinar,@Aprendoatrinar,Undirected,1
@ArDiaz1944,@ArDiaz1944,Undirected,1
@ArthurDux1,@ArthurDux1,Undirected,6
@Asnasalvaje,@Asnasalvaje,Undirected,47
@AsoDeporCali,@AsoDeporCali,Undirected,3
@Asobancaria,@Asobancaria,Undirected,3
@AsociacionMi,@AsociacionMi,Undirected,1
@AsofiamR4,@AsofiamR4,Undirected,1
@AuraCardonafans,@AuraCardonafans,Undirected,2
@Avianca,@Avianca,Undirected,4
@BACCredomaticCR,@BACCredomaticCR,Undirected,1
@BANCOLOMBIA,@BANCOLOMBIA,Undirected,1
@BBVA_Colombia,@BBVA_Colombia,Undirected,2
@BackDoorMan85,@BackDoorMan85,Undirected,1
@Bahini_S,@Bahini_S,Undirected,1
@BancoAgrario,@BancoAgrario,Undirected,2
@BancoCUSCATLAN_,@BancoCUSCATLAN_,Undirected,1
@BancoFinandina,@BancoFinandina,Undirected,4
@BancoPichincha,@BancoPichincha,Undirected,2
@BancoPopularCR,@BancoPopularCR,Undirected,1
@BancoPromerica,@BancoPromerica,Undirected,1
@BancoRepublica,@BancoRepublica,Undirected,6
@Banco_AvVillas,@Banco_AvVillas,Undirected,6
@BancodeBogota,@BancodeBogota,Undirected,11
@Bancoldex,@Bancoldex,Undirected,1
@Bancolombia,@Bancolombia,Undirected,53
@BancosAval,@BancosAval,Undirected,3
@BancosAval:,@BancosAval:,Undirected,3
@BcoFalabellaCo,@BcoFalabellaCo,Undirected,1
@Bco_Occidente,@Bco_Occidente,Undirected,3
@Berzota,@Berzota,Undirected,3
@BetoSFernandez,@BetoSFernandez,Undirected,1
@Betocoralg,@Betocoralg,Undirected,1
@BigDatero,@BigDatero,Undirected,1
@BinanceES,@BinanceES,Undirected,7
@BinanceHelpDesk,@BinanceHelpDesk,Undirected,4
@Binance_COL,@Binance_COL,Undirected,1
@Blueangel2021,@Blueangel2021,Undirected,1
@BtcAndres,@BtcAndres,Undirected,1
@CAMdeSantaTecla,@CAMdeSantaTecla,Undirected,1
@CArdila28,@CArdila28,Undirected,2
@CCLaDorada,@CCLaDorada,Undirected,1
@CCSILVA86,@CCSILVA86,Undirected,1
@CEPaz_2,@CEPaz_2,Undirected,1
@CGR_Colombia,@CGR_Colombia,Undirected,2
@CLONYHD,@CLONYHD,Undirected,1
@CNOGUERA20,@CNOGUERA20,Undirected,6
@Cairolinha,@Cairolinha,Undirected,2
@CampoEcamacho,@CampoEcamacho,Undirected,1
@CancilleriaCol,@CancilleriaCol,Undirected,1
@CaracolNoticias_,@CaracolNoticias_,Undirected,3
@CaracolRadio,@CaracolRadio,Undirected,2
@CaracolTV,@CaracolTV,Undirected,3
@Caristi2,@Caristi2,Undirected,1
@CarloCastellar,@CarloCastellar,Undirected,1
@CarlosGrosso1,@CarlosGrosso1,Undirected,1
@Carlosc30443031,@Carlosc30443031,Undirected,1
@Carolalovi,@Carolalovi,Undirected,2
@Carolin60498929,@Carolin60498929,Undirected,1
@CarolinaIbanezS,@CarolinaIbanezS,Undirected,1
@CarsClauss,@CarsClauss,Undirected,1
@Catalba,@Catalba,Undirected,3
@CathyJuvinao,@CathyJuvinao,Undirected,1
@CeDemocratico,@CeDemocratico,Undirected,3
@ChandyReyes,@ChandyReyes,Undirected,1
@Chris_Montz,@Chris_Montz,Undirected,1
@Christian_4R4,@Christian_4R4,Undirected,1
@Christian_BVC,@Christian_BVC,Undirected,2
@CinthyQuinones,@CinthyQuinones,Undirected,2
@Ciudadano_K,@Ciudadano_K,Undirected,1
@ClaroColombia,@ClaroColombia,Undirected,1
@ClaroTeAyuda,@ClaroTeAyuda,Undirected,1
@ClaudiaLopez,@ClaudiaLopez,Undirected,1
@CojuteNoticias,@CojuteNoticias,Undirected,1
@ColConsumidor,@ColConsumidor,Undirected,1
@Colsubsidio_Ofi,@Colsubsidio_Ofi,Undirected,2
@ConVergenza12,@ConVergenza12,Undirected,1
@Contesta_tario,@Contesta_tario,Undirected,1
@CosmoDaKitten,@CosmoDaKitten,Undirected,1
@CredibanCo_,@CredibanCo_,Undirected,1
@Cristia56444419,@Cristia56444419,Undirected,1
@CristoAtado,@CristoAtado,Undirected,2
@CristyLopezLeon,@CristyLopezLeon,Undirected,1
@D1egoMoreno,@D1egoMoreno,Undirected,1
@DDom1975,@DDom1975,Undirected,2
@DIEGOFDOCAICEDO,@DIEGOFDOCAICEDO,Undirected,1
